,TN_maize,NHx_maize
SEEDGWAS1561:MRG:4:250070510,253,247.5299988
SEEDGWAS1564:MRG:4:250070514,239,145.5
SEEDGWAS1565:MRG:4:250070515,210,145.5
SEEDGWAS1566:MRG:4:250070516,258,193.8000031
SEEDGWAS157:MRG:4:250056122,380,599.789978
SEEDGWAS1572:MRG:4:250070521,NA,263.3599854
SEEDGWAS1573:MRG:4:250070522,152,239.8899994
SEEDGWAS1574:MRG:4:250070523,152,239.8899994
SEEDGWAS1577:MRG:4:250070526,200,263.3599854
SEEDGWAS1578:MRG:4:250070527,NA,263.3599854
SEEDGWAS1579:MRG:4:250070528,355,341.4599915
SEEDGWAS158:MRG:4:250056123,407,599.789978
SEEDGWAS1580:MRG:4:250070529,257,491.2799988
SEEDGWAS1581:MRG:4:250070530,104,243.5200043
SEEDGWAS160:MRG:4:250056124,NA,599.789978
SEEDGWAS1604:MRG:4:250070553,486,37.36000061
SEEDGWAS1605:MRG:4:250070554,322,344.1400146
SEEDGWAS1607:MRG:4:250070555,428,344.1400146
SEEDGWAS1608:MRG:4:250070556,NA,544.3800049
SEEDGWAS1609:MRG:4:250070557,NA,599.789978
SEEDGWAS1610:MRG:4:250070558,209,344.1400146
SEEDGWAS1611:MRG:4:250070559,276,239.8899994
SEEDGWAS162:MRG:4:250056125,318,599.789978
SEEDGWAS163:MRG:4:250056127,285,599.789978
SEEDGWAS1631:MRG:4:250070569,259,344.1400146
SEEDGWAS1632:MRG:4:250070570,181,190.4700012
SEEDGWAS1633:MRG:4:250070571,163,363.2600098
SEEDGWAS1634:MRG:4:250070572,418,37.13000107
SEEDGWAS1635:MRG:4:250070573,349,37.13000107
SEEDGWAS1636:MRG:4:250070574,470,37.13000107
SEEDGWAS1638:MRG:4:250070575,255,344.1400146
SEEDGWAS1639:MRG:4:250070576,837,162.4799957
SEEDGWAS164:MRG:4:250056128,383,599.789978
SEEDGWAS1641:MRG:4:250070577,501,599.789978
SEEDGWAS1643:MRG:4:250070578,347,264.7799988
SEEDGWAS1644:MRG:4:250070579,231,264.7799988
SEEDGWAS1647:MRG:4:250070582,286,599.789978
SEEDGWAS1648:MRG:4:250070583,286,599.789978
SEEDGWAS1651:MRG:4:250070587,NA,134.0700073
SEEDGWAS1652:MRG:4:250070588,163,363.2600098
SEEDGWAS1653:MRG:4:250070589,163,363.2600098
SEEDGWAS1654:MRG:4:250070590,241,544.3800049
SEEDGWAS1655:MRG:4:250070591,441,37.13000107
SEEDGWAS1656:MRG:4:250070592,441,37.13000107
SEEDGWAS1660:MRG:4:250070595,225,374.3299866
SEEDGWAS1661:MRG:4:250070596,386,239.8899994
SEEDGWAS1662:MRG:4:250070597,175,599.789978
SEEDGWAS1663:MRG:4:250070598,155,599.789978
SEEDGWAS1665:MRG:4:250070599,338,190.4700012
SEEDGWAS1666:MRG:4:250070600,NA,544.3800049
SEEDGWAS1667:MRG:4:250070601,837,162.4799957
SEEDGWAS1668:MRG:4:250070602,414,162.4799957
SEEDGWAS1669:MRG:4:250070603,NA,162.4799957
SEEDGWAS167:MRG:4:250056129,329,599.789978
SEEDGWAS1670:MRG:4:250070604,NA,162.4799957
SEEDGWAS1671:MRG:4:250070605,309,239.8899994
SEEDGWAS1673:MRG:4:250062636,313,23.80999947
SEEDGWAS1674:MRG:4:250062637,265,23.80999947
SEEDGWAS1676:MRG:4:250062638,NA,599.789978
SEEDGWAS1679:MRG:4:250062639,203,190.4700012
SEEDGWAS168:MRG:4:250056130,297,599.789978
SEEDGWAS1680:MRG:4:250062640,264,190.4700012
SEEDGWAS1681:MRG:4:250062641,469,599.789978
SEEDGWAS1682:MRG:4:250062642,NA,344.1400146
SEEDGWAS1683:MRG:4:250062643,NA,344.1400146
SEEDGWAS1684:MRG:4:250062644,NA,344.1400146
SEEDGWAS1685:MRG:4:250062645,NA,344.1400146
SEEDGWAS1689:MRG:4:250062647,527,599.789978
SEEDGWAS169:MRG:4:250056131,347,599.789978
SEEDGWAS1690:MRG:4:250062648,428,344.1400146
SEEDGWAS1691:MRG:4:250062649,522,162.4799957
SEEDGWAS1693:MRG:4:250062650,173,344.1400146
SEEDGWAS1694:MRG:4:250062651,220,190.4700012
SEEDGWAS1695:MRG:4:250062652,173,344.1400146
SEEDGWAS1696:MRG:4:250062653,387,715.8800049
SEEDGWAS1697:MRG:4:250062654,242,374.3299866
SEEDGWAS1698:MRG:4:250062655,309,374.3299866
SEEDGWAS170:MRG:4:250056132,335,599.789978
SEEDGWAS1701:MRG:4:250062658,NA,544.3800049
SEEDGWAS1704:MRG:4:250062661,234,363.2600098
SEEDGWAS1705:MRG:4:250062662,220,190.4700012
SEEDGWAS1707:MRG:4:250062663,595,162.4799957
SEEDGWAS1708:MRG:4:250062664,503,344.1400146
SEEDGWAS1709:MRG:4:250062665,189,344.1400146
SEEDGWAS171:MRG:4:250056133,404,599.789978
SEEDGWAS1710:MRG:4:250062667,636,344.1400146
SEEDGWAS1711:MRG:4:250062668,232,190.4700012
SEEDGWAS1712:MRG:4:250062669,281,544.3800049
SEEDGWAS1713:MRG:4:250062670,215,37.13000107
SEEDGWAS1714:MRG:4:250062671,215,37.13000107
SEEDGWAS1715:MRG:4:250062672,305,363.2600098
SEEDGWAS1716:MRG:4:250062673,305,363.2600098
SEEDGWAS1717:MRG:4:250062674,215,37.13000107
SEEDGWAS1719:MRG:4:250062675,215,37.13000107
SEEDGWAS172:MRG:4:250056134,347,599.789978
SEEDGWAS1720:MRG:4:250062676,215,37.13000107
SEEDGWAS1721:MRG:4:250062677,217,190.4700012
